Position,Player,Team,EV
QB,Cam Newton,CAR,30
QB,Aaron Rodgers,GB,26
QB,Russell Wilson,SEA,23
QB,Andrew Luck,IND,16
QB,Drew Brees,NO,14
QB,Ben Roethlisberger,PIT,8
QB,Carson Palmer,ARI,7
QB,Blake Bortles,JAX,7
QB,Eli Manning,NYG,6
QB,Philip Rivers,SD,4
QB,Tyrod Taylor,BUF,3
QB,Jameis Winston,TB,2
QB,Matthew Stafford,DET,2
QB,Andy Dalton,CIN,1
QB,Kirk Cousins,WAS,1
QB,Derek Carr,OAK,1
QB,Marcus Mariota,TEN,1
QB,Ryan Tannehill,MIA,1
QB,Ryan Fitzpatrick,NYJ,1
QB,Matt Ryan,ATL,1
QB,Tony Romo,DAL,1
QB,Alex Smith,KC,1
QB,Tom Brady,NE,1
QB,Jay Cutler,CHI,1
QB,Joe Flacco,BAL,1
QB,Brock Osweiler,HOU,1
QB,Teddy Bridgewater,MIN,1
QB,Robert Griffin,CLE,1
QB,Blaine Gabbert,SF,1
QB,Jared Goff,LA,1
QB,Sam Bradford,PHI,1
QB,Mark Sanchez,DEN,1
TE,Rob Gronkowski ,NE,44
TE,Jordan Reed ,WAS,33
TE,Greg Olsen ,CAR,28
TE,Travis Kelce ,KC,22
TE,Delanie Walker ,TEN,20
TE,Coby Fleener ,NO,19
TE,Zach Ertz ,PHI,14
TE,Gary Barnidge ,CLE,14
TE,Tyler Eifert ,CIN,10
TE,Jason Witten ,DAL,10
TE,Antonio Gates ,SD,10
TE,Ladarius Green ,PIT,9
TE,Julius Thomas ,JAX,6
TE,Dwayne Allen ,IND,4
TE,Eric Ebron ,DET,3
TE,Zach Miller ,CHI,1
TE,Charles Clay ,BUF,1
TE,Martellus Bennett ,NE,1
TE,Jimmy Graham ,SEA,1
TE,Kyle Rudolph ,MIN,1
TE,Jordan Cameron ,MIA,1
TE,Will Tye ,NYG,1
TE,Clive Walford ,OAK,1
TE,Austin Seferian-Jenkins ,TB,1
TE,Vance McDonald ,SF,1
RB,David Johnson ,ARI,49
RB,Todd Gurley ,LA,46
RB,Devonta Freeman ,ATL,44
RB,Lamar Miller ,HOU,43
RB,Jamaal Charles ,KC,43
RB,Adrian Peterson ,MIN,40
RB,Ezekiel Elliott ,DAL,38
RB,LeVeon Bell ,PIT,38
RB,Mark Ingram ,NO,35
RB,LeSean McCoy ,BUF,32
RB,Doug Martin ,TB,28
RB,Eddie Lacy ,GB,27
RB,Matt Forte ,NYJ,24
RB,CJ Anderson ,DEN,23
RB,Dion Lewis ,NE,20
RB,Carlos Hyde ,SF,19
RB,Thomas Rawls ,SEA,19
RB,Latavius Murray ,OAK,19
RB,Giovani Bernard ,CIN,18
RB,Danny Woodhead ,SD,18
RB,Duke Johnson ,CLE,18
RB,DeMarco Murray ,TEN,17
RB,Matt Jones ,WAS,15
RB,Jeremy Langford ,CHI,14
RB,Ryan Mathews ,PHI,14
RB,Frank Gore ,IND,11
RB,Jonathan Stewart ,CAR,10
RB,Jeremy Hill ,CIN,10
RB,Melvin Gordon ,SD,10
RB,Ameer Abdullah ,DET,8
RB,Arian Foster ,MIA,6
RB,Rashad Jennings ,NYG,5
RB,Charles Sims ,TB,5
RB,Theo Riddick ,DET,5
RB,TJ Yeldon ,JAX,5
RB,Justin Forsett ,BAL,2
RB,DeAngelo Williams ,PIT,1
RB,Darren Sproles ,PHI,1
RB,Isaiah Crowell ,CLE,1
RB,Shane Vereen ,NYG,1
RB,Chris Ivory ,JAX,1
RB,Bilal Powell ,NYJ,1
RB,Jay Ajayi ,MIA,1
RB,LeGarrette Blount ,NE,1
RB,CJ Prosise ,SEA,1
RB,James Starks ,GB,1
RB,Tevin Coleman ,ATL,1
RB,Derrick Henry ,TEN,1
RB,Javorius Allen ,BAL,1
RB,Chris Thompson ,WAS,1
RB,Jerick McKinnon ,MIN,1
RB,Darren McFadden ,DAL,1
RB,Jordan Howard ,CHI,1
RB,DeAndre Washington ,OAK,1
RB,Shaun Draughn ,SF,1
RB,CJ Spiller ,NO,1
RB,Kenneth Dixon ,BAL,1
RB,Devontae Booker ,DEN,1
RB,Karlos Williams ,BUF,1
RB,Chris Johnson ,ARI,1
WR,Antonio Brown ,PIT,77
WR,Julio Jones ,ATL,69
WR,Odell Beckham ,NYG,63
WR,DeAndre Hopkins ,HOU,52
WR,AJ Green ,CIN,46
WR,Dez Bryant ,DAL,43
WR,Brandon Marshall ,NYJ,42
WR,Keenan Allen ,SD,39
WR,Jordy Nelson ,GB,39
WR,Alshon Jeffery ,CHI,39
WR,Allen Robinson ,JAX,38
WR,Mike Evans ,TB,35
WR,Demaryius Thomas ,DEN,34
WR,Brandin Cooks ,NO,33
WR,TY Hilton ,IND,32
WR,Amari Cooper ,OAK,32
WR,Sammy Watkins ,BUF,31
WR,Jarvis Landry ,MIA,30
WR,Golden Tate ,DET,28
WR,Jeremy Maclin ,KC,27
WR,Randall Cobb ,GB,27
WR,Julian Edelman ,NE,27
WR,Larry Fitzgerald ,ARI,24
WR,Eric Decker ,NYJ,22
WR,Doug Baldwin ,SEA,21
WR,Jordan Matthews ,PHI,20
WR,Kelvin Benjamin ,CAR,19
WR,Donte Moncrief ,IND,17
WR,Emmanuel Sanders ,DEN,16
WR,Michael Floyd ,ARI,16
WR,Michael Crabtree ,OAK,13
WR,John Brown ,ARI,12
WR,DeVante Parker ,MIA,11
WR,DeSean Jackson ,WAS,10
WR,Allen Hurns ,JAX,10
WR,Torrey Smith ,SF,7
WR,Tyler Lockett ,SEA,7
WR,Marvin Jones ,DET,7
WR,Willie Snead ,NO,6
WR,Stefon Diggs ,MIN,4
WR,Kevin White ,CHI,4
WR,Sterling Shepard ,NYG,3
WR,Corey Coleman ,CLE,1
WR,Vincent Jackson ,TB,1
WR,Tavon Austin ,LA,1
WR,Markus Wheaton ,PIT,1
WR,Travis Benjamin ,SD,1
WR,Laquon Treadwell ,MIN,1
WR,Josh Gordon ,CLE,1
WR,Kamar Aiken ,BAL,1
WR,Mohamed Sanu ,ATL,1
WR,Steve Smith ,BAL,1
WR,Terrance Williams ,DAL,1
WR,Dorial Green-Beckham ,TEN,1
WR,Pierre Garcon ,WAS,1
WR,Phillip Dorsett ,IND,1
WR,Devin Funchess ,CAR,1
WR,Rishard Matthews ,TEN,1
WR,Kendall Wright ,TEN,1
WR,Kenny Britt ,LA,1
K,Stephen Gostkowski,PIT,1
K,Steven Hauschka,SD,1
K,Justin Tucker,MIN,1
K,Mason Crosby,CLE,1
K,Dan Bailey,BAL,1
K,Chandler Catanzaro,ATL,1
K,Adam Vinatieri,BAL,1
K,Graham Gano,DAL,1
K,Blair Walsh,TEN,1
K,Brandon McManus,WAS,1
K,Cairo Santos,IND,1
K,Josh Brown,CAR,1
K,Chris Boswell,TEN,1
K,Matt Prater,TEN,1
K,Dan Carpenter,LA,1
